hero,ban,pick,win,banrate,pickrate,winrate
akai,7.0,17.0,7.0,1.64,3.97,41.18
alice,7.0,11.0,4.0,1.64,2.57,36.36
alpha,47.0,82.0,45.0,10.98,19.16,54.88
angela,19.0,28.0,16.0,4.44,6.54,57.14
arlott,34.0,60.0,31.0,7.94,14.02,51.67
atlas,0.0,1.0,1.0,0.0,0.23,100.0
aurora,23.0,52.0,28.0,5.37,12.15,53.85
badang,60.0,94.0,49.0,14.02,21.96,52.13
bane,7.0,21.0,13.0,1.64,4.91,61.9
barats,5.0,18.0,9.0,1.17,4.21,50.0
baxia,22.0,31.0,19.0,5.14,7.24,61.29
beatrix,30.0,47.0,30.0,7.01,10.98,63.83
belerick,0.0,1.0,1.0,0.0,0.23,100.0
benedetta,5.0,16.0,8.0,1.17,3.74,50.0
brody,2.0,5.0,2.0,0.47,1.17,40.0
bruno,14.0,35.0,13.0,3.27,8.18,37.14
carmilla,9.0,10.0,6.0,2.1,2.34,60.0
cecilion,9.0,30.0,17.0,2.1,7.01,56.67
chip,314.0,51.0,25.0,73.36,11.92,49.02
chou,62.0,103.0,50.0,14.49,24.07,48.54
cici,53.0,53.0,27.0,12.38,12.38,50.94
claude,26.0,59.0,28.0,6.07,13.79,47.46
clint,0.0,13.0,5.0,0.0,3.04,38.46
edith,58.0,121.0,58.0,13.55,28.27,47.93
esmeralda,2.0,4.0,2.0,0.47,0.93,50.0
fanny,337.0,40.0,12.0,78.74,9.35,30.0
faramis,53.0,69.0,40.0,12.38,16.12,57.97
floryn,1.0,2.0,1.0,0.23,0.47,50.0
franco,32.0,29.0,18.0,7.48,6.78,62.07
fredrinn,36.0,27.0,16.0,8.41,6.31,59.26
gatotkaca,69.0,155.0,77.0,16.12,36.21,49.68
gloo,56.0,53.0,29.0,13.08,12.38,54.72
granger,80.0,118.0,68.0,18.69,27.57,57.63
grock,12.0,19.0,8.0,2.8,4.44,42.11
guinevere,1.0,6.0,2.0,0.23,1.4,33.33
hanabi,1.0,2.0,0.0,0.23,0.47,0.0
hanzo,24.0,12.0,4.0,5.61,2.8,33.33
harith,197.0,172.0,94.0,46.03,40.19,54.65
hayabusa,165.0,100.0,49.0,38.55,23.36,49.0
helcurt,52.0,4.0,2.0,12.15,0.93,50.0
hilda,53.0,50.0,21.0,12.38,11.68,42.0
hylos,107.0,142.0,76.0,25.0,33.18,53.52
irithel,23.0,38.0,21.0,5.37,8.88,55.26
ixia,1.0,3.0,2.0,0.23,0.7,66.67
jawhead,49.0,51.0,22.0,11.45,11.92,43.14
joy,103.0,106.0,41.0,24.07,24.77,38.68
julian,18.0,50.0,19.0,4.21,11.68,38.0
kadita,0.0,2.0,0.0,0.0,0.47,0.0
kaja,20.0,19.0,9.0,4.67,4.44,47.37
kalea,69.0,83.0,41.0,16.12,19.39,49.4
karrie,16.0,46.0,16.0,3.74,10.75,34.78
khaleed,31.0,60.0,30.0,7.24,14.02,50.0
khufra,9.0,18.0,4.0,2.1,4.21,22.22
kimmy,27.0,45.0,26.0,6.31,10.51,57.78
lancelot,4.0,20.0,10.0,0.93,4.67,50.0
leomord,0.0,2.0,1.0,0.0,0.47,50.0
ling,137.0,77.0,39.0,32.01,17.99,50.65
lolita,14.0,10.0,3.0,3.27,2.34,30.0
lukas,64.0,35.0,15.0,14.95,8.18,42.86
lunox,16.0,39.0,20.0,3.74,9.11,51.28
luo yi,175.0,61.0,34.0,40.89,14.25,55.74
lylia,2.0,10.0,4.0,0.47,2.34,40.0
martis,0.0,2.0,0.0,0.0,0.47,0.0
masha,30.0,8.0,5.0,7.01,1.87,62.5
mathilda,142.0,71.0,40.0,33.18,16.59,56.34
melissa,2.0,2.0,0.0,0.47,0.47,0.0
minotaur,13.0,11.0,6.0,3.04,2.57,54.55
minsitthar,0.0,1.0,0.0,0.0,0.23,0.0
moskov,98.0,133.0,54.0,22.9,31.07,40.6
nana,0.0,1.0,0.0,0.0,0.23,0.0
natalia,5.0,1.0,1.0,1.17,0.23,100.0
natan,27.0,42.0,23.0,6.31,9.81,54.76
nolan,41.0,78.0,36.0,9.58,18.22,46.15
novaria,12.0,16.0,5.0,2.8,3.74,31.25
paquito,0.0,3.0,3.0,0.0,0.7,100.0
pharsa,39.0,67.0,41.0,9.11,15.65,61.19
phoveus,193.0,137.0,71.0,45.09,32.01,51.82
rafaela,0.0,3.0,1.0,0.0,0.7,33.33
roger,44.0,75.0,38.0,10.28,17.52,50.67
ruby,48.0,73.0,36.0,11.21,17.06,49.32
saber,1.0,0.0,0.0,0.23,0.0,0.0
selena,13.0,19.0,7.0,3.04,4.44,36.84
suyou,64.0,125.0,79.0,14.95,29.21,63.2
terizla,28.0,70.0,31.0,6.54,16.36,44.29
thamuz,1.0,8.0,5.0,0.23,1.87,62.5
tigreal,90.0,50.0,27.0,21.03,11.68,54.0
uranus,3.0,3.0,2.0,0.7,0.7,66.67
vale,0.0,2.0,2.0,0.0,0.47,100.0
valentina,74.0,143.0,64.0,17.29,33.41,44.76
valir,0.0,2.0,0.0,0.0,0.47,0.0
vexana,26.0,65.0,27.0,6.07,15.19,41.54
wanwan,40.0,41.0,25.0,9.35,9.58,60.98
x.borg,28.0,19.0,11.0,6.54,4.44,57.89
yi sun-shin,4.0,4.0,2.0,0.93,0.93,50.0
yin,0.0,1.0,1.0,0.0,0.23,100.0
yu zhong,1.0,5.0,2.0,0.23,1.17,40.0
yve,84.0,97.0,57.0,19.63,22.66,58.76
zhask,32.0,67.0,30.0,7.48,15.65,44.78
zhuxin,228.0,97.0,40.0,53.27,22.66,41.24
